trial_num,mAP50,run_folder,hsv_v,degrees,translate,scale,shear,fliplr,mosaic,erasing,lr0,lrf,cls,box,duration_min,timestamp
0,0.213443,train-108,0.227204,5.988334,0.081251,0.195692,2.673973,0.158973,0.04627,0.136381,0.00316,0.029581,0.576227,11.877698,26.77,2026-05-10 19:19:33
1,0.258499,train-109,0.25143,15.348024,0.115777,0.179237,8.811564,0.285404,0.063901,0.226437,0.002011,0.052085,0.981327,7.53443,45.97,2026-05-10 19:46:19
2,0.251894,train-110,0.347645,6.416475,0.134571,0.191128,0.007316,0.147469,0.175815,0.332343,0.000931,0.004188,0.806259,11.970697,22.28,2026-05-10 20:32:17
3,0.262834,train-111,0.453964,16.370838,0.116046,0.164564,3.610142,0.462705,0.028927,0.450213,0.000118,0.030727,1.771303,11.84695,18.58,2026-05-10 20:54:34
4,0.251851,train-112,0.140615,6.113469,0.148144,0.230543,5.127869,0.492863,0.046816,0.169949,0.001253,0.002028,1.826464,7.51561,19.18,2026-05-10 21:13:09
5,0.24605,train-113,0.175427,11.368552,0.007482,0.113362,1.017683,0.174766,0.204413,0.268394,0.000351,0.084573,2.177984,7.508615,37.19,2026-05-10 21:32:19
6,0.260203,train-114,0.206242,7.904067,0.115466,0.273373,7.388393,0.077624,0.085167,0.259025,0.000312,0.004562,2.418085,10.553193,32.78,2026-05-10 22:09:31
7,0.267335,train-115,0.263307,5.119769,0.026544,0.079884,4.097269,0.371797,0.177512,0.220147,0.000901,0.002235,2.443642,7.266148,29.36,2026-05-10 22:42:18
8,0.251372,train-116,0.290904,4.537132,0.173493,0.258912,0.753381,0.267104,0.105578,0.205787,0.000711,0.041908,1.433356,6.776205,32.73,2026-05-10 23:11:39
9,0.226087,train-117,0.151245,5.831443,0.158632,0.07457,3.112821,0.463498,0.073824,0.382633,0.002809,0.066174,1.39313,9.414013,30.08,2026-05-10 23:44:23
10,0.2025,train-118,0.364411,0.091087,0.004011,0.051325,5.933769,0.336228,0.299645,0.115295,0.007437,0.001019,2.950661,5.0772,56.83,2026-05-11 00:14:28
11,0.267027,train-119,0.489705,18.161682,0.062284,0.121913,3.066512,0.392118,0.240414,0.486229,0.000286,0.025102,2.585531,9.108745,35.1,2026-05-11 01:11:18
12,0.257382,train-120,0.460952,12.364082,0.055206,0.118241,3.945123,0.375066,0.24796,0.497577,0.000194,0.013138,2.902941,9.106028,32.68,2026-05-11 01:46:24
13,0.217864,train-121,0.374272,18.881981,0.04419,0.106545,2.145871,0.385689,0.229453,0.362607,0.000533,0.013895,2.474314,5.690375,18.78,2026-05-11 02:19:05
14,0.278222,train-122,0.100425,0.921225,0.040996,0.131934,6.444243,0.398679,0.137601,0.427772,0.000206,0.007238,2.548235,8.612274,26.95,2026-05-11 02:37:51
15,0.259097,train-123,0.281833,1.208374,0.028742,0.15235,6.528205,0.330984,0.133848,0.415272,0.000114,0.005238,2.122944,6.448217,16.15,2026-05-11 03:04:49
16,0.166444,train-124,0.106293,2.450104,0.081845,0.086124,9.839097,0.418965,0.156433,0.308121,0.00869,0.002201,2.698746,8.282204,49.08,2026-05-11 03:20:58
17,0.239341,train-125,0.329222,2.970775,0.027465,0.142386,7.459243,0.214613,0.000891,0.188533,0.001697,0.0077,2.178689,9.865225,25.26,2026-05-11 04:10:03
18,0.278294,train-126,0.118499,9.042348,0.08336,0.05944,4.655127,0.008234,0.115983,0.263996,0.000568,0.002376,2.079518,8.261759,22.64,2026-05-11 04:35:18
19,0.271309,train-127,0.107381,9.323853,0.083259,0.050401,4.884986,0.00253,0.126384,0.410397,0.0002,0.00115,1.501637,8.286734,28.98,2026-05-11 04:57:56
20,0.23131,train-128,0.188248,13.269167,0.198838,0.224373,6.437767,0.004652,0.113987,0.336827,0.000457,0.007892,2.099207,10.402383,26.51,2026-05-11 05:26:55
21,0.280211,train-129,0.103379,10.24461,0.08617,0.051699,5.15507,0.01237,0.132277,0.424778,0.000178,0.00112,1.357001,8.381737,23.95,2026-05-11 05:53:25
22,0.267992,train-130,0.10024,9.337615,0.099549,0.068797,5.199004,0.087027,0.155321,0.435429,0.000197,0.001518,1.197332,8.679211,19.63,2026-05-11 06:17:22
23,0.261545,train-131,0.152614,13.989218,0.060312,0.093968,7.421437,0.081284,0.098956,0.272852,0.000168,0.003399,1.841115,8.170778,28.83,2026-05-11 06:37:00
24,0.227455,train-132,0.142463,10.52057,0.090286,0.132561,5.80955,0.02536,0.136526,0.376141,0.000532,0.003015,1.61368,10.013883,19.15,2026-05-11 07:05:50
25,0.273165,train-133,0.127034,8.08071,0.067023,0.066986,8.158355,0.048888,0.184015,0.467685,0.000273,0.00154,2.019981,8.60606,21.04,2026-05-11 07:24:59
26,0.281714,train-134,0.178378,7.960696,0.043927,0.298324,4.493394,0.127806,0.20355,0.304044,0.000138,0.005935,1.140733,11.062806,16.75,2026-05-11 07:46:01
27,0.264546,train-135,0.181763,8.024966,0.107478,0.294541,4.466451,0.102985,0.203774,0.303799,0.000103,0.001464,1.166268,11.094924,17.34,2026-05-11 08:02:46
28,0.276944,train-136,0.228863,11.31051,0.070389,0.211072,1.814344,0.126172,0.282089,0.24467,0.000143,0.003087,1.218854,11.205042,37.1,2026-05-11 08:20:07
